title,date,category,link
Dayton Woman Pleads Guilty To $1.5 Million Theft From Medicaid Program,"March 17, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/dayton-woman-pleads-guilty-to-15-million-theft-from-medicaid-program/
Report: PA. Attorney General’s Medicaid Fraud Control Section Charged More Medicaid Fraud Cases Than Any Other State In The 2024 Fiscal Year,"March 17, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/report-pa-attorney-generals-medicaid-fraud-control-section-charged-more-medicaid-fraud-cases-than-any-other-state-in-the-2024-fiscal-year/
Doctor Sentenced For Health Care Fraud And Money Laundering,"March 14, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-for-health-care-fraud-and-money-laundering/
"Robert Burkich, M.D. Settles Case Alleging That He Submitted False Claims For Chelation Therapy To Medicare","March 14, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/robert-burkich-md-settles-case-alleging-that-he-submitted-false-claims-for-chelation-therapy-to-medicare/
Miami Inspector Pleads Guilty in a Scheme to Obstruct the U.S. Department of Health and Human Services’ Oversight of the Medicare Program,"March 14, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/miami-inspector-pleads-guilty-in-a-scheme-to-obstruct-the-us-department-of-health-and-human-services-oversight-of-the-medicare-program/
Marshalltown Woman Pleads Guilty To Charges Related To Drug Diversion,"March 14, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/marshalltown-woman-pleads-guilty-to-charges-related-to-drug-diversion/
Medical Equipment Business Owner Sentenced To Federal Prison And Ordered To Pay Restitution In The Amount Of Over $1.3 Million,"March 14, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-equipment-business-owner-sentenced-to-federal-prison-and-ordered-to-pay-restitution-in-the-amount-of-over-13-million/
Attorney General Jeff Jackson Announces Money Laundering And Health Care Fraud Sentencing,"March 14, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jeff-jackson-announces-money-laundering-and-health-care-fraud-sentencing/
Joseph Bye Sentenced To New Hampshire State Prison For Medicaid Fraud,"March 13, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/joseph-bye-sentenced-to-new-hampshire-state-prison-for-medicaid-fraud/
Hampton Man Sentenced To Over Nine Years In Prison For Defrauding Virginia Medicaid And Virginia Unemployment,"March 12, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hampton-man-sentenced-to-over-nine-years-in-prison-for-defrauding-virginia-medicaid-and-virginia-unemployment/
Attorney General Griffin Announces 6 Medicaid Fraud Convictions And 1 Civil Settlement,"March 12, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-6-medicaid-fraud-convictions-and-1-civil-settlement/
"Home Health Agencies, Laboratory, And Physician Indicted For MassHealth Fraud And Kickback Schemes Involving Over $7.8 Million In False Claims","March 12, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/home-health-agencies-laboratory-and-physician-indicted-for-masshealth-fraud-and-kickback-schemes-involving-over-78-million-in-false-claims/
"Madison Heights Nurse Charged With Practicing Medicine Without A License, Falsifying Medical Records","March 12, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/madison-heights-nurse-charged-with-practicing-medicine-without-a-license-falsifying-medical-records/
"Apria Agreed to pay $75,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","March 11, 2025",CIA Reportable Events,https://oig.hhs.gov/fraud/enforcement/apria-agreed-to-pay-75000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Three Former Executives for Magellan Diagnostics Plead Guilty to False Statements and FDCA Violations,"March 11, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-former-executives-for-magellan-diagnostics-plead-guilty-to-false-statements-and-fdca-violations/
Slidell Doctor Charged With Health Care Fraud,"March 11, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/slidell-doctor-charged-with-health-care-fraud/
Baton Rouge Man Falsely Holding Himself As A Medical Doctor Pleads Guilty To False Statements Relating To Health Care Matters,"March 10, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/baton-rouge-man-falsely-holding-himself-as-a-medical-doctor-pleads-guilty-to-false-statements-relating-to-health-care-matters/
"Doctor Agrees To Pay $468,000 To Settle Civil False Claims Act Allegations","March 10, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-agrees-to-pay-468000-to-settle-civil-false-claims-act-allegations/
"Clinton Woman Indicted, Accused Of Abusing Vulnerable Adult","March 10, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/clinton-woman-indicted-accused-of-abusing-vulnerable-adult/
Attorney General Ken Paxton Secures $40 Million For Texas Following Medicaid Fraud Investigation Of Molina Healthcare,"March 7, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ken-paxton-secures-40-million-for-texas-following-medicaid-fraud-investigation-of-molina-healthcare/
"Alex De Jesus, MD Was Excluded for Defaulting on Payment Obligations","March 6, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/alex-de-jesus-md-was-excluded-for-defaulting-on-payment-obligations/
Owner Of Marketing Companies And DME Company Convicted For Role In $100 Million Scheme To Defraud Medicare And Other Insurers And To Violate The Anti-Kickback Statute,"March 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-marketing-companies-and-dme-company-convicted-for-role-in-100-million-scheme-to-defraud-medicare-and-other-insurers-and-to-violate-the-anti-kickback-statute/
Medical Billing Company Owner Sentenced For Health Care Fraud,"March 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-billing-company-owner-sentenced-for-health-care-fraud/
"Lake Charles Physician, Wife, And Clinic Agree To Pay Medicare For Improper Billing Related To Implanted Neurostimulators","March 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lake-charles-physician-wife-and-clinic-agree-to-pay-medicare-for-improper-billing-related-to-implanted-neurostimulators/
Health Care Providers And Laboratory Marketers Agree To Pay Over $1.9 Million To Settle Kickback Allegations,"March 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/health-care-providers-and-laboratory-marketers-agree-to-pay-over-19-million-to-settle-kickback-allegations/
"Addiction Treatment Center Supervisor Sentenced in Scheme to Defraud Federal, State, and Private Health Care Insurers","March 5, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/addiction-treatment-center-supervisor-sentenced-in-scheme-to-defraud-federal-state-and-private-health-care-insurers/
Buffalo Business Owner Sentenced For Medicaid Fraud,"March 5, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/buffalo-business-owner-sentenced-for-medicaid-fraud/
The New Mexico Department Of Justice Charges Nancy Marshall With 18 Felony Counts Related To Fraudulent Medicaid Claims Totaling Nearly $1 Million,"March 5, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/the-new-mexico-department-of-justice-charges-nancy-marshall-with-18-felony-counts-related-to-fraudulent-medicaid-claims-totaling-nearly-1-million/
Walgreens Agrees To Pay Nearly $98 Million To Resolve Allegations It Billed The Government For Uncollected Prescriptions,"March 4, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/walgreens-agrees-to-pay-nearly-98-million-to-resolve-allegations-it-billed-the-government-for-uncollected-prescriptions/
Parkville Woman Pleads Guilty To Over $3.6 Million In Medicaid Fraud,"March 4, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/parkville-woman-pleads-guilty-to-over-36-million-in-medicaid-fraud/
Attorney General Alan Wilson Announces Former Assisted Living Facility Employee Sent To Prison For Stealing From Resident,"March 4, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-former-assisted-living-facility-employee-sent-to-prison-for-stealing-from-resident/
Madison County Man Faces Charges Of Financial Exploitation Of Vulnerable Adults,"March 4, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/madison-county-man-faces-charges-of-financial-exploitation-of-vulnerable-adults/
Harrisburg Woman Sentenced To 41 Months in Prison for Health Care Fraud And Bank Fraud Charges,"March 3, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/harrisburg-woman-sentenced-to-41-months-in-prison-for-health-care-fraud-and-bank-fraud-charges/
"Friendly Medical Transport Agreed to Pay $119,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Mileage Greater Than Provided","March 3, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/friendly-medical-transport-agreed-to-pay-119000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-mileage-greater-than-provided/
Attorney General Ken Paxton’s Investigation Leads To 10-Year Prison Sentence And Over $26 Million In Restitution For Texas Doctor,"March 3, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ken-paxtons-investigation-leads-to-10-year-prison-sentence-and-over-26-million-in-restitution-for-texas-doctor/
Attorney General Coleman Announces Medicaid Felony Indictments For Five In Louisville,"March 3, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-coleman-announces-medicaid-felony-indictments-for-five-in-louisville/
Owner of Oahu Physical Therapy Clinic Sentenced to 9 Months in Federal Prison for Health Care Fraud,"February 28, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-oahu-physical-therapy-clinic-sentenced-to-9-months-in-federal-prison-for-health-care-fraud/
"Acting United States Attorney Fondren Announces Federal Indictment Against Gynecologist for Sexually Abusing Patients, Adulterating Medical Devices for Reuse on Patients, and Healthcare Fraud","February 28, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/acting-united-states-attorney-fondren-announces-federal-indictment-against-gynecologist-for-sexually-abusing-patients-adulterating-medical-devices-for-reuse-on-patients-and-healthcare-fraud/
"Community Health Care Solutions, LLC and the Estate of Yolanda Burnom Agree to Pay $4.6 Million in Medicaid Fraud Lawsuit","February 27, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/community-health-care-solutions-llc-and-the-estate-of-yolanda-burnom-agree-to-pay-46-million-in-medicaid-fraud-lawsuit/
"Ascension Resurrection Agreed to Pay $133,420 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examination","February 26, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/ascension-resurrection-agreed-to-pay-133420-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examination/
Woman Previously Convicted of Fraud and Identity Theft Offenses Sentenced to Additional Prison Time for Violating Supervised Release Conditions,"February 26, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/woman-previously-convicted-of-fraud-and-identity-theft-offenses-sentenced-to-additional-prison-time-for-violating-supervised-release-conditions/
"Essex County Man Convicted, Sentenced After Trial For Submitting False MassHealth Claims For Autism Behavioral Health Treatment","February 26, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/essex-county-man-convicted-sentenced-after-trial-for-submitting-false-masshealth-claims-for-autism-behavioral-health-treatment/
Former Director of Tuscola County Peer Center Charged with Embezzling from Center,"February 26, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-director-of-tuscola-county-peer-center-charged-with-embezzling-from-center/
National Sales Director for New York-Based Mobile Diagnostic Company Charged in Kickback Scheme,"February 25, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/national-sales-director-for-new-york-based-mobile-diagnostic-company-charged-in-kickback-scheme/
"United States Sues Skilled Nursing Company, Executives and Consultant for Fraudulent Billing","February 25, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-sues-skilled-nursing-company-executives-and-consultant-for-fraudulent-billing/
Danville Woman Pleads Guilty to Health Care Fraud,"February 25, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/danville-woman-pleads-guilty-to-health-care-fraud/
Lab Operator Convicted of $4M Medicare Fraud Scheme,"February 25, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lab-operator-convicted-of-4m-medicare-fraud-scheme/
"Jeffersonville Resident Sentenced For Medicaid Fraud, Driving Under The Influence, And Abuse Of A Vulnerable Adult","February 25, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-guilty-verdict-of-physician-who-subjected-patients-to-unnecessary-and-invasive-tests-1/
Pittsford Resident Arraigned for Neglect of a Vulnerable Adult and Medicaid Fraud,"February 25, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/pittsford-resident-arraigned-for-neglect-of-a-vulnerable-adult-and-medicaid-fraud/
"Eureka Chiropractor Convicted of Defrauding Medicare, Insurance Companies Out of More Than $1.5 Million","February 24, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/eureka-chiropractor-convicted-of-defrauding-medicare-insurance-companies-out-of-more-than-15-million/
North Haven Counselor Sentenced to More Than 3 Years in Federal Prison for Defrauding Medicaid of More Than $1.6 Million,"February 24, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-haven-counselor-sentenced-to-more-than-3-years-in-federal-prison-for-defrauding-medicaid-of-more-than-16-million/
"Benedictine Living Community Crookston Agreed to Pay $247,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","February 24, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/benedictine-living-community-crookston-agreed-to-pay-247000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Arizona Man Charged With Conspiracy To Commit Bank Fraud And Theft Of $1 Million In Federal Grants For HIV Programs,"February 21, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arizona-man-charged-with-conspiracy-to-commit-bank-fraud-and-theft-of-1-million-in-federal-grants-for-hiv-programs/
"Ohio doctor agrees to pay $600,000 to settle False Claims Act allegations","February 21, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ohio-doctor-agrees-to-pay-600000-to-settle-false-claims-act-allegations/
Saad Healthcare Agrees to Pay $3M to Settle False Claims Act Allegations That It Billed Medicare for Ineligible Hospice Patients,"February 21, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/saad-healthcare-agrees-to-pay-3m-to-settle-false-claims-act-allegations-that-it-billed-medicare-for-ineligible-hospice-patients/
"Baptist Medical Center South Agreed to Pay $290,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examinations and Stabilizing Treatment","February 20, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/baptist-medical-center-south-agreed-to-pay-290000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examinations-and-stabilizing-treatment/
Owner of Durable Medical Equipment Companies Charged in Nearly $30 Million Fraud Scheme,"February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-durable-medical-equipment-companies-charged-in-nearly-30-million-fraud-scheme/
Law Enforcement Seizes Range Rover and Over $4 Million in Health Care Fraud Proceeds from Miami Couple Charged with Health Care Fraud and Money Laundering Conspiracies,"February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/law-enforcement-seizes-range-rover-and-over-4-million-in-health-care-fraud-proceeds-from-miami-couple-charged-with-health-care-fraud-and-money-laundering-conspiracies/
Columbia Physician Pleads Guilty to False Statements to Medicare,"February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/columbia-physician-pleads-guilty-to-false-statements-to-medicare/
"Former Taney County Official Pleads Guilty to Stealing $260,000","February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-taney-county-official-pleads-guilty-to-stealing-260000/
Vice President of Health Care Software and Services Company Pleads Guilty to $1B Health Care Fraud Conspiracy,"February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/vice-president-of-health-care-software-and-services-company-pleads-guilty-to-1b-health-care-fraud-conspiracy/
"South Pacific Rehabilitation Services Agreed to Pay $201,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","February 20, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/south-pacific-rehabilitation-services-agreed-to-pay-201000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Suburban Chicago Man Sentenced To More Than Five Years In Prison For $1.5 Million COVID-Relief Fraud,"February 19, 2025",COVID-19,https://oig.hhs.gov/fraud/enforcement/suburban-chicago-man-sentenced-to-more-than-five-years-in-prison-for-15-million-covid-relief-fraud/
St. Louis Area Doctor Sentenced for Health Care Fraud,"February 19, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/st-louis-area-doctor-sentenced-for-health-care-fraud/
President of Insurance Brokerage Firm and CEO of Marketing Company Charged in $161M Affordable Care Act Enrollment Fraud Scheme,"February 19, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/president-of-insurance-brokerage-firm-and-ceo-of-marketing-company-charged-in-161m-affordable-care-act-enrollment-fraud-scheme/
Med One Mobile and Gregory Wireman Agreed to Be Excluded for 5 Years for Submitting Claims for Medically Unnecessary Ambulance Transportation Services,"February 14, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/med-one-mobile-and-gregory-wireman-agreed-to-be-excluded-for-5-years-for-submitting-claims-for-medically-unnecessary-ambulance-transportation-services/
Carbon County Man Pleads No Contest to Posing as Medical Professional to Prescribe Medications and Provide Care to Obtain Insurance Reimbursements,"February 14, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carbon-county-man-pleads-no-contest-to-posing-as-medical-professional-to-prescribe-medications-and-provide-care-to-obtain-insurance-reimbursements/
"York County Couple — Exercising Power of Attorney and Primary Caregiving Responsibilities — Charged with Neglect, Financial Exploitation of Elderly Woman","February 14, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/york-county-couple-exercising-power-of-attorney-and-primary-caregiving-responsibilities-charged-with-neglect-financial-exploitation-of-elderly-woman/
Two Pharmacists Convicted for Illegal Distribution of Oxycodone,"February 12, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-pharmacists-convicted-for-illegal-distribution-of-oxycodone/
AG Fitch Announces Settlement in Medicaid Fraud Case,"February 12, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-fitch-announces-settlement-in-medicaid-fraud-case/
Doctor Convicted of $24M Medicare Fraud Scheme,"February 11, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-24m-medicare-fraud-scheme/
Attorney General Marshall Announces the Conviction of Former Birmingham Nurse for Theft of Opioid Tablets,"February 11, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-marshall-announces-the-conviction-of-former-birmingham-nurse-for-theft-of-opioid-tablets/
"Glens Falls Hospital Agreed to Pay $204,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Did Not Meet Coverage Requirements","February 7, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/glens-falls-hospital-agreed-to-pay-204000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-did-not-meet-coverage-requirements/
"Four Pharmacists Sentenced for Roles in $13M Medicare, Medicaid, and Private Insurer Fraud Conspiracy","February 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/four-pharmacists-sentenced-for-roles-in-13m-medicare-medicaid-and-private-insurer-fraud-conspiracy/
Louisiana Doctor Sentenced for Illegally Distributing Over 1.8M Doses of Opioids in $5.4M Health Care Fraud Scheme,"February 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/louisiana-doctor-sentenced-for-illegally-distributing-over-18m-doses-of-opioids-in-54m-health-care-fraud-scheme/
"Florida Attorney General’s Office Secures More Than $350,000 for Florida Medicaid from Pharmaceutical Company Over Kickback Allegations","February 6, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/florida-attorney-generals-office-secures-more-than-350000-for-florida-medicaid-from-pharmaceutical-company-over-kickback-allegations/
"Pain Medical Associates Agreed to Pay $33,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Without Proper Supervision","February 5, 2025",CIA Reportable Events,https://oig.hhs.gov/fraud/enforcement/pain-medical-associates-agreed-to-pay-33000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-incident-to-services-without-proper-supervision/
Attorney General Bonta: Owner of Santa Cruz Residential Care Home Arrested for Elder Abuse,"February 5, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-owner-of-santa-cruz-residential-care-home-arrested-for-elder-abuse/
Florida Attorney General’s Office Secures More Than $2.3 Million in Multistate Action from Pfizer-Owned Biohaven Pharmaceutical Company,"February 5, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/florida-attorney-generals-office-secures-more-than-23-million-in-multistate-action-from-pfizer-owned-biohaven-pharmaceutical-company/
Attorney General James Secures Prison Sentence for Serial Health Care Fraudster,"February 5, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-secures-prison-sentence-for-serial-health-care-fraudster/
Pharmacy LLC Agrees To Resolve False Claims Act Allegations Of Billing For Drugs Not Dispensed,"February 4, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-llc-agrees-to-resolve-false-claims-act-allegations-of-billing-for-drugs-not-dispensed/
Man Pleads Guilty to Conspiracy to Launder Money in Connection with $100 Million Health Care Fraud Scheme,"February 4, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-pleads-guilty-to-conspiracy-to-launder-money-in-connection-with-100-million-health-care-fraud-scheme/
"Clinical Pathology Laboratories Agreed to Pay $352,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","February 4, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/clinical-pathology-laboratories-agreed-to-pay-352000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
AG's Office Secures Guilty Plea From Stoughton Man For Prescription Fraud And Illegal Distribution Scheme,"February 4, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ags-office-secures-guilty-plea-from-stoughton-man-for-prescription-fraud-and-illegal-distribution-scheme/
Hartford Substance Abuse Counselor Sentenced to 27 Months in Prison for Health Care Fraud Schemes,"February 3, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hartford-substance-abuse-counselor-sentenced-to-27-months-in-prison-for-health-care-fraud-schemes/
Man Pleads Guilty in Connection with $17M Medicare Hospice Fraud and Home Health Care Fraud Schemes,"February 3, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-pleads-guilty-in-connection-with-17m-medicare-hospice-fraud-and-home-health-care-fraud-schemes/
"Attorney General Bonta Announces Nearly $60 Million Settlement Against Pfizer-Owned Pharmaceutical Holding Company, Biohaven","February 3, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-nearly-60-million-settlement-against-pfizer-owned-pharmaceutical-holding-company-biohaven/
AG Campbell Secures $1.4 Million for MassHealth Over Kickback Allegations Against National Pharmaceutical Company,"February 3, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-campbell-secures-14-million-for-masshealth-over-kickback-allegations-against-national-pharmaceutical-company/
AG Nessel Secures $59.7 Million Settlement Over Kickback Allegations Against Pfizer Subsidiary,"February 3, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-nessel-secures-597-million-settlement-over-kickback-allegations-against-pfizer-subsidiary/
LiveCare Inc. Agrees To Pay Up To $4.9 Million To Resolve False Claims Act Allegations,"January 31, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/livecare-inc-agrees-to-pay-up-to-49-million-to-resolve-false-claims-act-allegations/
Arizona Couple Pleads Guilty to $1.2B Health Care Fraud,"January 31, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arizona-couple-pleads-guilty-to-12b-health-care-fraud/
Springfield Medicaid Consultant Pleads Guilty To Stealing From Elderly Nursing Home Victims,"January 31, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/springfield-medicaid-consultant-pleads-guilty-to-stealing-from-elderly-nursing-home-victims/
"Attorney General Alan Wilson announces Anderson man charged with stealing almost $120,000 from vulnerable adult","January 31, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-anderson-man-charged-with-stealing-almost-120000-from-vulnerable-adult/
Waterford Woman Sentenced to 2 Years in Prison for Stealing from Addiction and Mental Health Services Nonprofit,"January 29, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/waterford-woman-sentenced-to-2-years-in-prison-for-stealing-from-addiction-and-mental-health-services-nonprofit/
Attorney General Labrador Announces Settlement in Medicaid Fraud Case,"January 29, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-labrador-announces-settlement-in-medicaid-fraud-case/
"Attorney General Raoul Charges Former Community-Based Home Caregiver With Abuse, Neglect Of Elderly Patient","January 29, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-raoul-charges-former-community-based-home-caregiver-with-abuse-neglect-of-elderly-patient/
Woman Sentenced for Fraud Scheme Involving Claims for Unnecessary Respiratory Tests Submitted with COVID-19 Tests,"January 28, 2025",COVID-19,https://oig.hhs.gov/fraud/enforcement/woman-sentenced-for-fraud-scheme-involving-claims-for-unnecessary-respiratory-tests-submitted-with-covid-19-tests/
"Greensboro Laboratory and Owner Agree to Pay $850,000 to Resolve Allegations of False Claims for Urine Drug Testing","January 28, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/greensboro-laboratory-and-owner-agree-to-pay-850000-to-resolve-allegations-of-false-claims-for-urine-drug-testing/
"Philadelphia Mental Health Clinic and Its Psychiatrist Owner Agree to Pay $900,000 to Resolve False Claims Act Lawsuit for Alleged Medicaid Fraud","January 27, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/philadelphia-mental-health-clinic-and-its-psychiatrist-owner-agree-to-pay-900000-to-resolve-false-claims-act-lawsuit-for-alleged-medicaid-fraud/
Greenfield Man Sentenced to 15 Months’ Imprisonment for Paying Healthcare Kickbacks,"January 27, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/greenfield-man-sentenced-to-15-months-imprisonment-for-paying-healthcare-kickbacks/
Florida Attorney General’s Office’s Medicaid Fraud Control Unit Secures More Than $2.2 Million for Florida Medicaid from Inpatient Behavioral Health Company,"January 27, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/florida-attorney-generals-offices-medicaid-fraud-control-unit-secures-more-than-22-million-for-florida-medicaid-from-inpatient-behavioral-health-company/
Madison Man Sentenced to 37 Months in Prison for Conspiracy to Defraud the United States,"January 24, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/madison-man-sentenced-to-37-months-in-prison-for-conspiracy-to-defraud-the-united-states/
