title,date,category,link
"Symphony Crestwood, Symphony Chicago West, and Symphony Midway Agreed to Pay $107,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","September 29, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/symphony-crestwood-symphony-chicago-west-and-symphony-midway-agreed-to-pay-107000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Owner of Mail Order Pharmacies Settles False Claims Act Investigation Involving Allegations of Fraudulent Billing Practices and Kickbacks,"September 26, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-mail-order-pharmacies-settles-false-claims-act-investigation-involving-allegations-of-fraudulent-billing-practices-and-kickbacks/
Semler Scientific Inc. and Bard Peripheral Vascular Inc. to Pay Nearly $37 Million to Resolve False Claims Act Allegations Relating to FloChec and QuantaFlo Devices,"September 26, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/semler-scientific-inc-and-bard-peripheral-vascular-inc-to-pay-nearly-37m-to-resolve-false-claims-act-allegations-relating-to-flochec-and-quantaflo-devices/
"University of Mississippi Medical Center Agreed to Pay $271,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","September 26, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/university-of-mississippi-medical-center-agreed-to-pay-271000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
Attorney General Griffin Announces Conviction of Little Rock Woman for Medicaid Fraud,"September 26, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-conviction-of-little-rock-woman-for-medicaid-fraud/
"Attorney General Alan Wilson announces Spartanburg man charged with stealing nearly $275,000 from nursing home resident","September 26, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-man-charged-with-stealing-nearly-275000-from-nursing-home-resident/
"Attorney General Alan Wilson Announces Union Woman Charged With Stealing More Than $54,000 From Assisted Living Resident","September 26, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-union-woman-charged-with-stealing-more-than-54000-from-assisted-living-resident/
Pharmacy Owner and Pharmacists Sentenced for Pill Mill Scheme Involving Hundreds of Thousands of Opioid Pills,"September 25, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-and-pharmacists-sentenced-for-pill-mill-scheme-involving-hundreds-of-thousands-of-opioid-pills/
Attorney General Alan Wilson Announces Rock Hill Counselor Charged With Medicaid Fraud,"September 25, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-rock-hill-counselor-charged-with-medicaid-fraud/
"David Boguslavsky, MD and Premier Medical Acupuncture Agreed to Pay $581,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Bundled Services that Included Drugs that Were Not Purchased","September 24, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/david-boguslavsky-md-and-premier-medical-acupuncture-agreed-to-pay-581000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-bundled-services-that-included-drugs-that-were-not-purchased/
First Defendant Charged in Autism Fraud Scheme,"September 24, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/first-defendant-charged-in-autism-fraud-scheme/
Reno Doctor Arrested And Indicted For Health Care Fraud,"September 24, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/reno-doctor-arrested-and-indicted-for-health-care-fraud/
"Southfield Doctor Sentenced to Six Years in Prison for Illegally Prescribing More Than 200,000 Opioid pills worth more than $5.2 million","September 24, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/southfield-doctor-sentenced-to-six-years-in-prison-for-illegally-prescribing-more-than-200000-opioid-pills-worth-more-than-52-million/
Attorney General James Uthmeier Announces $3 Million Settlement Agreement With Gilead Sciences To Resolve Improper Promotion Of HIV Drugs,"September 24, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-uthmeier-announces-3-million-settlement-agreement-with-gilead-sciences-to-resolve-improper-promotion-of-hiv-drugs/
Houston woman arrested by AG Murrill's Louisiana Bureau of Investigation for defrauding Medicaid program of approximately $4600,"September 24, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/houston-woman-arrested-by-ag-murrills-louisiana-bureau-of-investigation-for-defrauding-medicaid-program-of-approximately-4600/
Attorney General Ellison Partners With Federal Law Enforcement In Medicaid Fraud Charges Against Asha Hassan,"September 24, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ellison-partners-with-federal-law-enforcement-in-medicaid-fraud-charges-against-asha-hassan/
"Keith Myers Agreed to Pay $250,000 for Allegedly Violating the Civil Monetary Penalties Law by Causing False Claims, Records, and Statements Related to Federally Funded COVID-19 Vaccines","September 23, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/keith-myers-agreed-to-pay-250000-for-allegedly-violating-the-civil-monetary-penalties-law-by-causing-false-claims-records-and-statements-related-to-federally-funded-covid-19-vaccines/
Justice Department Expands Health Care Fraud Unit to Target Health Care Fraud in Massachusetts,"September 23, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/justice-department-expands-health-care-fraud-unit-to-target-health-care-fraud-in-massachusetts/
Physician Sentenced to 14 Years for Illegal Distribution of Opioids and Health Care Fraud Conspiracies,"September 23, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-sentenced-to-14-years-for-illegal-distribution-of-opioids-and-health-care-fraud-conspiracies/
"Essex County Man Charged with Submitting Thousands of False Bills to Medicaid, Stealing More than $3 Million","September 23, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/essex-county-man-charged-with-submitting-thousands-of-false-bills-to-medicaid-stealing-more-than-3-million/
Fresno County Podiatrist and Sales Representative Plead Guilty to Conspiracy to Submit False Claims Related to Skin Grafts,"September 22, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/fresno-county-podiatrist-and-sales-representative-plead-guilty-to-conspiracy-to-submit-false-claims-related-to-skin-grafts/
"Davidson County Caregiver Arrested, Charged with Theft, Identity Theft, and Financial Exploitation of an Elderly or Vulnerable Person","September 22, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/davidson-county-caregiver-arrested-charged-with-theft-identity-theft-and-financial-exploitation-of-an-elderly-or-vulnerable-person/
"Our Community Pharmacy and Candida Webb Agreed to Pay $100,000 and Be Excluded for 5 Years for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration to Beneficiaries","September 19, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/our-community-pharmacy-and-candida-webb-agreed-to-pay-100000-and-be-excluded-for-5-years-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-to-beneficiaries/
Marketer Sentenced for $11.5M Genetic Testing Fraud and Kickback Scheme,"September 19, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/marketer-sentenced-for-115m-genetic-testing-fraud-and-kickback-scheme/
"SMP Health St. Raphael Agreed to Pay $233,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","September 19, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/smp-health-st-raphael-agreed-to-pay-233000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Couple arrested by AG Murrill's Office for defrauding Medicaid program of more than $59,000 and Filing or Maintaining False Public Records","September 19, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/couple-arrested-by-ag-murrills-office-for-defrauding-medicaid-program-of-more-than-59000-and-filing-or-maintaining-false-public-records/
Defendants Charged in First Wave of Housing Stabilization Fraud Cases,"September 18, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/defendants-charged-in-first-wave-of-housing-stabilization-fraud-cases/
Guatemalan National Illegally Residing in the United States Indicted on Fraud Charges Related to the Sponsorship of Unaccompanied Alien Child,"September 18, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/guatemalan-national-illegally-residing-in-the-united-states-indicted-on-fraud-charges-related-to-the-sponsorship-of-unaccompanied-alien-child/
"Hiawatha Care Center Agreed to Pay $201,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","September 18, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/hiawatha-care-center-agreed-to-pay-201000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Weirton Medical Center Agreed to Pay $54,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","September 18, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/weirton-medical-center-agreed-to-pay-54000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
U.S. Attorney’s Office Seeks Potential Victims in Case Against St. Louis Doctor and Staff,"September 17, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorneys-office-seeks-potential-victims-in-case-against-st-louis-doctor-and-staff/
Two Florida Men Charged for $34.8M Fraud Scheme Targeting Medicare Beneficiaries,"September 17, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-florida-men-charged-for-348m-fraud-scheme-targeting-medicare-beneficiaries/
United States Files Suit Against California-Based Health Plan for Alleged False Claims to California’s Medicaid Program,"September 17, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-files-suit-against-california-based-health-plan-for-alleged-false-claims-to-californias-medicaid-program/
Exactech Agrees to Pay $8 Million to Resolve False Claims Act Allegations for Selling Defective Knee Implant Devices,"September 16, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/exactech-agrees-to-pay-8-million-to-resolve-false-claims-act-allegations-for-selling-defective-knee-implant-devices/
"Medical Device Company Exactech, Inc. Agrees to Pay $8 Million for Selling Allegedly Defective Knee Implant Devices","September 16, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-device-company-exactech-inc-agrees-to-pay-8-million-for-selling-allegedly-defective-knee-implant-devices/
Roanoke Home Health Care Attendant Pleads Guilty to Health Care Fraud,"September 16, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/roanoke-home-health-care-attendant-pleads-guilty-to-health-care-fraud/
Three More Plead Guilty In 1st Adult N Pediatric Healthcare Fraud Case,"September 16, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-more-plead-guilty-in-1st-adult-n-pediatric-healthcare-fraud-case/
Ocean County Nurse Charged with Assaulting Elderly Nursing Home Resident,"September 16, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ocean-county-nurse-charged-with-assaulting-elderly-nursing-home-resident/
Fraud Charges Filed Against 12 Defendants in Phase II of Operation Nightingale,"September 15, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/fraud-charges-filed-against-12-defendants-in-phase-ii-of-operation-nightingale/
AG Campbell Secures Guilty Plea From Ringleader Of Worcester-Based Home Health Fraud Scheme Exploiting Vulnerable Residents,"September 15, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-campbell-secures-guilty-plea-from-ringleader-of-worcester-based-home-health-fraud-scheme-exploiting-vulnerable-residents/
Attorney General Ellison partners with federal law enforcement on indictments of Housing Stabilization Services providers,"September 15, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ellison-partners-with-federal-law-enforcement-on-indictments-of-housing-stabilization-services-providers/
Former Home Health Care Operator Settles Fraud Allegations Of Billing Federal Health Care Programs For Services Performed By Unlicensed Foreign Doctors,"September 12, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-home-health-care-operator-settles-fraud-allegations-of-billing-federal-health-care-programs-for-services-performed-by-unlicensed-foreign-doctors/
Former Louisiana Department Of Education Employee Pleads Guilty To Conspiracy To Commit Wire Fraud,"September 12, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-louisiana-department-of-education-employee-pleads-guilty-to-conspiracy-to-commit-wire-fraud/
Louisiana Chiropractor Sentenced to Seven Years in Prison for Health Care Fraud and Unemployment Insurance Fraud Schemes,"September 12, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/louisiana-chiropractor-sentenced-to-seven-years-in-prison-for-health-care-fraud-and-unemployment-insurance-fraud-schemes/
"Arizona’s Children Association Agreed to Pay $54,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitted Claims for Services Not Provided","September 12, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/arizonas-children-association-agreed-to-pay-54000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitted-claims-for-services-not-provided/
"Las Vegas Surgical Associates Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Ablation Procedures that Misrepresented Dates of Service or Were Upcoded","September 12, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/las-vegas-surgical-associates-agreed-to-pay-20000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-ablation-procedures-that-misrepresented-dates-of-service-or-were-upcoded/
"Alexandra Tellez Agreed to Pay $60,000 for Allegedly Violating the Civil Monetary Penalties Law by Receiving Remuneration in Exchange for Referring Medicare Services","September 11, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/alexandra-tellez-agreed-to-pay-60000-for-allegedly-violating-the-civil-monetary-penalties-law-by-receiving-remuneration-in-exchange-for-referring-medicare-services/
Clay County Pharmacy Investigation and Prosecution Ends in Guilty Pleas,"September 11, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/clay-county-pharmacy-investigation-and-prosecution-ends-in-guilty-pleas/
Oklahoma City Daycare Owner Convicted of Obstructing Audit and Embezzling Funds Meant for Childcare,"September 11, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oklahoma-city-daycare-owner-convicted-of-obstructing-audit-and-embezzling-funds-meant-for-childcare/
"Jacksonville Fire and Rescue Department Agreed to Pay $167,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by Unlicensed Individuals","September 11, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/jacksonville-fire-and-rescue-department-agreed-to-pay-167000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-unlicensed-individuals/
"Marianjoy Rehabilitation Hospital and Clinics Agreed to Pay $190,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","September 11, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/marianjoy-rehabilitation-hospital-and-clinics-agreed-to-pay-190000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
Memphis Woman Charged with Abuse of Vulnerable Adult,"September 11, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/memphis-woman-charged-with-abuse-of-vulnerable-adult-1/
Maryland Woman Arraigned for Defrauding the D.C. Medicaid Program,"September 10, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/maryland-woman-arraigned-for-defrauding-the-dc-medicaid-program/
Florida Man Sentenced to 24 Months for Laundering Proceeds of Health Care Fraud Scheme,"September 10, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-sentenced-to-24-months-for-laundering-proceeds-of-health-care-fraud-scheme/
Georgia Woman Sentenced for $1 Million Wire Fraud,"September 9, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/georgia-woman-sentenced-for-1-million-wire-fraud/
Doctor and Urgent Care Clinic Settle Allegations Over Medicaid Fraud,"September 9, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/doctor-and-urgent-care-clinic-settle-allegations-over-medicaid-fraud/
St. Louis Area Doctor Sentenced to 70 Months in Prison,"September 8, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/st-louis-area-doctor-sentenced-to-70-months-in-prison/
Owner of Facility for Intellectually Disabled Adults Pleads Guilty to Health Care Fraud,"September 8, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-facility-for-intellectually-disabled-adults-pleads-guilty-to-health-care-fraud/
Owners of 1st Adult N Pediatric Healthcare Pled Guilty,"September 8, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owners-of-1st-adult-n-pediatric-healthcare-pled-guilty/
"Laboratory CEO, Marketers, and Physicians to Pay Over $6M to Settle Allegations of Management Service Organization and other Lab Testing Kickbacks","September 8, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/laboratory-ceo-marketers-and-physicians-to-pay-over-6m-to-settle-allegations-of-management-service-organization-and-other-lab-testing-kickbacks/
"Compassion Hospice Agreed to Pay $430,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Improper Remuneration in the Form of Referral Based Compensation","September 8, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/compassion-hospice-agreed-to-pay-430000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-improper-remuneration-in-the-form-of-referral-based-compensation/
Randolph Personal Care Attendant Sentenced To 18 Months In Jail For Defrauding MassHealth,"September 8, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/randolph-personal-care-attendant-sentenced-to-18-months-in-jail-for-defrauding-masshealth/
Office of Attorney General’s Role in Investigating Owner of Pittsburgh Facility for Intellectually Disabled Adults Leads to Federal Plea to Health Care Fraud,"September 8, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/office-of-attorney-generals-role-in-investigating-owner-of-pittsburgh-facility-for-intellectually-disabled-adults-leads-to-federal-plea-to-health-care-fraud/
Former Nurse Charged with Impersonating Licensed Professional and Fraudulently Obtaining a Controlled Substance,"September 7, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-nurse-charged-with-impersonating-licensed-professional-and-fraudulently-obtaining-a-controlled-substance/
"Ryan Cleland, DC and Infinite Wellness Integrative Medical Center Agreed to Pay $249,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Medically Unnecessary Services","September 4, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/ryan-cleland-dc-and-infinite-wellness-integrative-medical-center-agreed-to-pay-249000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-medically-unnecessary-services/
Caregiver Who Abused Vulnerable Adult in His Care Gets Sentenced,"September 4, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/caregiver-who-abused-vulnerable-adult-in-his-care-gets-sentenced/
"Community Memorial Health System Agreed to Pay $111,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","September 4, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/community-memorial-health-system-agreed-to-pay-111000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
"Laurels of Sandy Creek and Laurel of Hudsonville Agreed to Pay $122,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","September 4, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/laurels-of-sandy-creek-and-laurel-of-hudsonville-agreed-to-pay-122000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Opal Mullings and Optimum Faith Lab Corp. Were Excluded for 10 Years,"September 3, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/opal-mullings-and-optimum-faith-lab-corp-were-excluded-for-10-years/
"Greenwood Center for Nursing and Rehabilitation Agreed to Pay $83,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","September 3, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/greenwood-center-for-nursing-and-rehabilitation-agreed-to-pay-83000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
Hawaii County Woman Charged With Labor Trafficking,"September 3, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/hawaii-county-woman-charged-with-labor-trafficking/
Rosedale Woman Sentenced for Conspiracy to Distribute Controlled Substances and Money Laundering,"September 2, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/rosedale-woman-sentenced-for-conspiracy-to-distribute-controlled-substances-and-money-laundering/
Martinsville Doctor Sentenced to 40 Years for Drug Distribution,"September 2, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/martinsville-doctor-sentenced-to-40-years-for-drug-distribution/
"United States Intervenes and Sues ProMedica Health System, Inc. and Its Affiliates for Providing Grossly Substandard Nursing Home Services","September 2, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-intervenes-and-sues-promedica-health-system-inc-and-its-affiliates-for-providing-grossly-substandard-nursing-home-services/
Middletown Resident Charged in Health Care Fraud Scheme Involving Durable Medical Equipment,"August 29, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/middletown-resident-charged-in-health-care-fraud-scheme-involving-durable-medical-equipment/
Convicted Opioid Pill Mill Doctor Must Forfeit Property And Pay Restitution,"August 29, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/convicted-opioid-pill-mill-doctor-must-forfeit-property-and-pay-restitution/
Owner of California Blood Testing Laboratory Pleads Guilty to Tax and Health Care Related Crimes,"August 29, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-california-blood-testing-laboratory-pleads-guilty-to-tax-and-health-care-related-crimes/
Home health agency owner sentenced to more than six years in Medicare fraud and identity theft scheme,"August 28, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-agency-owner-sentenced-to-more-than-six-years-in-medicare-fraud-and-identity-theft-scheme/
Attorney General James Uthmeier Announces Arrest of Certified Nursing Assistant for Elder Abuse,"August 28, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-uthmeier-announces-arrest-of-certified-nursing-assistant-for-elder-abuse/
Attorney General Ra˙l Torrez Charges Imposter Nurse Who Nearly Caused Fatal Dose of Morphine,"August 28, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ra-l-torrez-charges-imposter-nurse-who-nearly-caused-fatal-dose-of-morphine/
"Louisville Physician Agrees to Pay $250,000 to Settle False Claims Act Allegations","August 27, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/louisville-physician-agrees-to-pay-250000-to-settle-false-claims-act-allegations/
Danville Woman Sentenced for Health Care Fraud,"August 27, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/danville-woman-sentenced-for-health-care-fraud/
Maryland Woman Pleads Guilty to Conspiracy to Commit Healthcare Fraud,"August 27, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/maryland-woman-pleads-guilty-to-conspiracy-to-commit-healthcare-fraud/
AG Campbell Secures $12.25 Million Settlement With CVS For Failure To Comply With MassHealth Prescription Drug Pricing Regulations,"August 27, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-campbell-secures-1225-million-settlement-with-cvs-for-failure-to-comply-with-masshealth-prescription-drug-pricing-regulations/
"Ideal Health Diagnostics and Svetlana Dizik Agreed to Pay $227,000 and Be Excluded for 10 Years for Allegedly Violating the Civil Monetary Penalties Law by Receiving Improper Remuneration and Causing the Submission of False or Fraudulent Medicare Claims","August 26, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/ideal-health-diagnostics-and-svetlana-dizik-agreed-to-pay-227000-and-be-excluded-for-10-years-for-allegedly-violating-the-civil-monetary-penalties-law-by-receiving-improper-remuneration-and-causing-the-submission-of-false-or-fraudulent-medicare-claims/
"Attorney General Marshall Announces Conviction of Former State Employee for the Theft of Over $100,000 from Alabama Medicaid Agency","August 26, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-marshall-announces-conviction-of-former-state-employee-for-the-theft-of-over-100000-from-alabama-medicaid-agency/
Compliance Director and Office Manager of Substance Abuse Company Convicted in Scheme to Pay Medicaid Kickbacks to Patients,"August 25, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/compliance-director-and-office-manager-of-substance-abuse-company-convicted-in-scheme-to-pay-medicaid-kickbacks-to-patients/
"North Central Ohio Family Care Center and Dr. James Heddleson Agreed to Pay $66,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims that Did Not Meet Billing Requirements","August 25, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/north-central-ohio-family-care-center-and-dr-james-heddleson-agreed-to-pay-66000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-that-did-not-meet-billing-requirements/
"Waccamaw Dermatology Agreed to Pay $160,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims that Did Not Meet Medicare Requirements for Locum Tenens Coverage","August 25, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/waccamaw-dermatology-agreed-to-pay-160000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-that-did-not-meet-medicare-requirements-for-locum-tenens-coverage/
Attorney General James Secures $12 Million and Major Reforms at Syracuse Nursing Home to Stop Resident Neglect and Financial Fraud,"August 25, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-secures-12-million-and-major-reforms-at-syracuse-nursing-home-to-stop-resident-neglect-and-financial-fraud/
Attorney General Alan Wilson announces Spartanburg woman charged with stealing from vulnerable adult,"August 25, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-woman-charged-with-stealing-from-vulnerable-adult/
Danville Woman Sentenced for Health Care Fraud,"August 25, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/danville-woman-sentenced-for-health-care-fraud-2/
"The Grand Rehabilitation and Nursing at Utica Agreed to Pay $315,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","August 22, 2025",CIA Reportable Events,https://oig.hhs.gov/fraud/enforcement/the-grand-rehabilitation-and-nursing-at-utica-agreed-to-pay-315000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Mississippi Medicaid Recipients Agree To Pay Over $170,000 To Resolve False Claims Act Allegations Of Health Care Benefits Fraud","August 22, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/mississippi-medicaid-recipients-agree-to-pay-over-170000-to-resolve-false-claims-act-allegations-of-health-care-benefits-fraud/
"Crawford Drug Agreed to Pay $78,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Prescription Drugs Not Dispensed","August 22, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/crawford-drug-agreed-to-pay-78000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-prescription-drugs-not-dispensed/
